"bill","committee","session","url","filename","date"
"","Public Hearing before SENATE COMMUNITY AND URBAN AFFAIRS COMMITTEE AND ASSEMBLY HOUSING AND LOCAL GOVERNMENT SENATE COMMUNITY AND URBAN AFFAIRS COMMITTEE AND ASSEMBLY HOUSING AND LOCAL GOVERNMENT","2007 Public Hearings","http://www.njleg.state.nj.us/legislativepub/pubhear/SCUAHO013007.pdf","SCUAHO013007.pdf","January 30, 2007"
"","before SENATE HEALTH, HUMAN SERVICES AND SENIOR CITIZENS COMMITTEE AND SENATE COMMUNITY AND URBAN AFFAIRS COMMITTEE SENATE HEALTH, HUMAN SERVICES AND SENIOR CITIZENS COMMITTEE AND SENATE COMMUNITY AND URBAN AFFAIRS COMMITTEE","2007 Public Hearings","http://www.njleg.state.nj.us/legislativepub/pubhear/SHHSCU020507.pdf","SHHSCU020507.pdf","February 5, 2007"
"","Committee Meeting of SENATE EDUCATION COMMITTEE/SENATE BUDGET AND APPROPRIATIONS COMMITTEE Committee Meeting of SENATE EDUCATION COMMITTEE/SENATE BUDGET AND APPROPRIATIONS COMMITTEE","2007 Public Hearings","http://www.njleg.state.nj.us/legislativepub/pubhear/SEDSBA121307.pdf","SEDSBA121307.pdf","December 13, 2007"
"","Committee Meeting of SENATE EDUCATION COMMITTEE/SENATE BUDGET AND APPROPRIATIONS COMMITTEE Committee Meeting of SENATE EDUCATION COMMITTEE/SENATE BUDGET AND APPROPRIATIONS COMMITTEE","2007 Public Hearings","http://www.njleg.state.nj.us/legislativepub/pubhear/SEDSBA121307_appendix.pdf","SEDSBA121307_appendix.pdf","December 13, 2007"
"","Public Hearing before SENATE ENVIRONMENT COMMITTEE SENATE ENVIRONMENT COMMITTEE","2007 Public Hearings","http://www.njleg.state.nj.us/legislativepub/pubhear/sen020807.pdf","sen020807.pdf","February 8, 2007"
"","Public Hearing before SENATE ENVIRONMENT COMMITTEE SENATE ENVIRONMENT COMMITTEE","2007 Public Hearings","http://www.njleg.state.nj.us/legislativepub/pubhear/sen020807_appendix.pdf","sen020807_appendix.pdf","February 8, 2007"
"","Public Hearing before SENATE ENVIRONMENT COMMITTEE SENATE ENVIRONMENT COMMITTEE","2007 Public Hearings","http://www.njleg.state.nj.us/legislativepub/pubhear/sen041707.pdf","sen041707.pdf","April 17, 2007"
"","Public Hearing before SENATE ENVIRONMENT COMMITTEE SENATE ENVIRONMENT COMMITTEE","2007 Public Hearings","http://www.njleg.state.nj.us/legislativepub/pubhear/sen041707_appendix.pdf","sen041707_appendix.pdf","April 17, 2007"
"","Committee Meeting of SENATE ENVIRONMENT COMMITTEE SENATE ENVIRONMENT COMMITTEE","2007 Public Hearings","http://www.njleg.state.nj.us/legislativepub/pubhear/sen091707.pdf","sen091707.pdf","September 17, 2007"
"","before SENATE HEALTH, HUMAN SERVICES AND SENIOR CITIZENS COMMITTEE AND SENATE COMMUNITY AND URBAN AFFAIRS COMMITTEE SENATE HEALTH, HUMAN SERVICES AND SENIOR CITIZENS COMMITTEE AND SENATE COMMUNITY AND URBAN AFFAIRS COMMITTEE","2007 Public Hearings","http://www.njleg.state.nj.us/legislativepub/pubhear/SHHSCU020507.pdf","SHHSCU020507.pdf","February 5, 2007"
